danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,artist.name,track.popularity,year
0.548,0.475,1,-12.42,1,0.0355,0.615,0.808,0.0944,0.0349,126.974,audio_features,4GKk1uNzpxIptBuaY97Dkj,spotify:track:4GKk1uNzpxIptBuaY97Dkj,https://api.spotify.com/v1/tracks/4GKk1uNzpxIptBuaY97Dkj,https://api.spotify.com/v1/audio-analysis/4GKk1uNzpxIptBuaY97Dkj,294667,4,Midnight,Coldplay,63,2016
0.81,0.719,5,-10.253,1,0.0519,0.165,1.68e-4,0.135,0.496,135.049,audio_features,67G84ZLTSoiRLmojkuBLzw,spotify:track:67G84ZLTSoiRLmojkuBLzw,https://api.spotify.com/v1/tracks/67G84ZLTSoiRLmojkuBLzw,https://api.spotify.com/v1/audio-analysis/67G84ZLTSoiRLmojkuBLzw,172067,4,Feel I Bring,Aer,0,2016
0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,audio_features,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,237300,4,7 Years,Lukas Graham,80,2016
0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,audio_features,6MdqqkQ8sSC0WB4i8PyRuQ,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600,4,No Diggity,Blackstreet,77,2016
0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-6,0.115,0.225,128.978,audio_features,1UqhkbzB1kuFwt2iy4h29Q,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q,249520,3,Cough Syrup,Young the Giant,71,2016
0.535,0.906,8,-5.332,1,0.32,0.00218,0,0.0955,0.675,174.142,audio_features,5SSPtaaL1GYcTeMxgAzR6E,spotify:track:5SSPtaaL1GYcTeMxgAzR6E,https://api.spotify.com/v1/tracks/5SSPtaaL1GYcTeMxgAzR6E,https://api.spotify.com/v1/audio-analysis/5SSPtaaL1GYcTeMxgAzR6E,248276,4,World Peace,Dizzy Wright,5,2016
0.466,0.496,1,-6.606,1,0.0302,0.626,6.22e-6,0.117,0.352,74.747,audio_features,2eiY8qXiV6yReXSeuoplns,spotify:track:2eiY8qXiV6yReXSeuoplns,https://api.spotify.com/v1/tracks/2eiY8qXiV6yReXSeuoplns,https://api.spotify.com/v1/audio-analysis/2eiY8qXiV6yReXSeuoplns,269893,4,All the Pretty Girls,KALEO,45,2016
0.359,0.648,3,-7.06,1,0.035,0.108,0.0135,0.0555,0.133,111.733,audio_features,1hxq7kWQnwdhxgpEugBMGk,spotify:track:1hxq7kWQnwdhxgpEugBMGk,https://api.spotify.com/v1/tracks/1hxq7kWQnwdhxgpEugBMGk,https://api.spotify.com/v1/audio-analysis/1hxq7kWQnwdhxgpEugBMGk,278373,4,Dirty Paws,Of Monsters and Men,51,2016
0.54,0.729,0,-3.709,1,0.0276,0.169,0,0.112,0.779,80.454,audio_features,5U1eDhGNl6uUQThJ4nBm7z,spotify:track:5U1eDhGNl6uUQThJ4nBm7z,https://api.spotify.com/v1/tracks/5U1eDhGNl6uUQThJ4nBm7z,https://api.spotify.com/v1/audio-analysis/5U1eDhGNl6uUQThJ4nBm7z,203653,4,Spirits,The Strumbellas,0,2016
0.694,0.872,10,-3.799,0,0.0297,0.00941,1.68e-5,0.0719,0.962,113.978,audio_features,1QCuVVP4KWHCjRGWTVT9mz,spotify:track:1QCuVVP4KWHCjRGWTVT9mz,https://api.spotify.com/v1/tracks/1QCuVVP4KWHCjRGWTVT9mz,https://api.spotify.com/v1/audio-analysis/1QCuVVP4KWHCjRGWTVT9mz,251000,4,Happiness Is Not A Place,The Wind and The Wave,0,2016
